recordID,state,cases,deaths
d100377,Tennessee,1,0
d100378,Texas,19,0
d100379,Utah,3,0
d100380,Vermont,1,0
d100381,Virginia,1,0
d100382,Washington,110,16
d100383,Wisconsin,1,0
d100384,Arizona,5,0
d100385,California,112,1
d100386,Colorado,8,0
d100387,Connecticut,1,0
d100388,District of Columbia,1,0
d100389,Florida,13,2
d100390,Georgia,11,0
d100391,Hawaii,2,0
d100392,Illinois,7,0
d100393,Indiana,2,0
d100394,Iowa,3,0
d100395,Kansas,1,0
d100396,Kentucky,4,0
d100397,Maryland,5,0
d100398,Massachusetts,28,0
d100399,Minnesota,2,0
d100400,Missouri,1,0
d100401,Nebraska,16,0
d100402,Nevada,4,0
d100403,New Hampshire,4,0
d100404,New Jersey,6,0
d100405,New York,106,0
d100406,North Carolina,2,0
d100407,Oklahoma,1,0
d100408,Oregon,13,0
d100409,Pennsylvania,6,0
d100410,Rhode Island,3,0
d100411,South Carolina,6,0
d100412,Tennessee,3,0
d100413,Texas,23,0
d100414,Utah,3,0
d100415,Vermont,1,0
d100416,Virginia,2,0
d100417,Washington,141,19
d100418,Wisconsin,1,0
d100419,Arizona,6,0
d100420,California,172,2
d100421,Colorado,12,0
d100422,Connecticut,2,0
d100423,District of Columbia,4,0
d100424,Florida,14,2
d100425,Georgia,17,0
d100426,Hawaii,2,0
d100427,Illinois,11,0
d100428,Indiana,4,0
d100429,Iowa,8,0
d100430,Kansas,1,0
d100431,Kentucky,5,0
d100432,Louisiana,1,0
d100433,Maryland,6,0
d100434,Massachusetts,41,0
d100435,Minnesota,2,0
d100436,Missouri,1,0
d100437,Nebraska,16,0
d100438,Nevada,4,0
d100439,New Hampshire,4,0
d100440,New Jersey,11,0
d100441,New York,142,0
d100442,North Carolina,7,0
d100443,Ohio,3,0
d100444,Oklahoma,1,0
d100445,Oregon,13,0
d100446,Pennsylvania,10,0
d100447,Rhode Island,3,0
d100448,South Carolina,7,0
d100449,Tennessee,4,0
d100450,Texas,24,0
d100451,Utah,3,0
d100452,Vermont,1,0
d100453,Virginia,5,0
d100454,Washington,179,22
d100455,Wisconsin,2,0
d100456,Arizona,6,0
d100457,California,179,3
d100458,Colorado,17,0
d100459,Connecticut,2,0
d100460,District of Columbia,4,0
d100461,Florida,23,2
d100462,Georgia,22,0
d100463,Hawaii,2,0
d100464,Illinois,19,0
d100465,Indiana,6,0
d100466,Iowa,13,0
d100467,Kansas,1,0
d100468,Kentucky,7,0
d100469,Louisiana,6,0
d100470,Maryland,9,0
d100471,Massachusetts,92,0
d100472,Michigan,2,0
d100473,Minnesota,3,0
d100474,Missouri,1,0
d100475,Nebraska,17,0
d100476,Nevada,4,0
d100477,New Hampshire,5,0
d100478,New Jersey,15,1
d100479,New York,173,0
d100480,North Carolina,7,0
d100481,Ohio,3,0
d100482,Oklahoma,2,0
d100483,Oregon,14,0
d100484,Pennsylvania,12,0
d100485,Rhode Island,5,0
d100486,South Carolina,9,0
d100487,South Dakota,5,1
d100488,Tennessee,7,0
d100489,Texas,31,0
d100490,Utah,4,0
d100491,Vermont,1,0
d100492,Virginia,8,0
d100493,Washington,279,24
d100494,Wisconsin,3,0
d100495,Arizona,9,0
d100496,Arkansas,1,0
d100497,California,202,4
d100498,Colorado,34,0
d100499,Connecticut,3,0
d100500,Delaware,1,0
d100501,District of Columbia,10,0
d100502,Florida,26,2
d100503,Georgia,31,0
d100504,Hawaii,2,0
d100505,Illinois,25,0
d100506,Indiana,11,0
d100507,Iowa,14,0
d100508,Kansas,1,0
d100509,Kentucky,7,0
d100510,Louisiana,13,0
d100511,Maryland,13,0
d100512,Massachusetts,95,0
d100513,Michigan,2,0
d100514,Minnesota,5,0
d100515,Mississippi,1,0
d100516,Missouri,1,0
d100517,Nebraska,23,0
d100518,Nevada,7,0
d100519,New Hampshire,5,0
d100520,New Jersey,23,1
d100521,New Mexico,4,0
d100522,New York,217,0
d100523,North Carolina,8,0
d100524,North Dakota,1,0
d100525,Ohio,4,0
d100526,Oklahoma,2,0
d100527,Oregon,20,0
d100528,Pennsylvania,16,0
d100529,Rhode Island,5,0
d100530,South Carolina,10,0
d100531,South Dakota,8,1
d100532,Tennessee,8,0
d100533,Texas,33,0
d100534,Utah,5,0
d100535,Vermont,2,0
d100536,Virginia,10,0
d100537,Washington,338,29
d100538,Wisconsin,6,0
d100539,Wyoming,1,0
d100540,Alaska,1,0
d100541,Arizona,9,0
d100542,Arkansas,6,0
d100543,California,252,4
d100544,Colorado,49,1
